Code,Ticker,Open,High,Low,Close,Volume,PrevClose,CompanyName,Market,Sector17,変動率(%),前日比(%),振れ幅(%),レンジ位置,上ヒゲ比,VWAP,売買代金(百万円),終値/VWAP,全体順位,セクター内順位,セクター銘柄数,セクター内%,vsセクター
1928,1928.T,3802.0,3826.0,3768.0,3826.0,4652200.0,3800.0,積水ハウス,プライム（内国株式）,建設・資材,0.63,0.68,1.53,1.0,0.0,3807.0,17710.9,1.005,2316,208,281,0.74,-1.33
1929,1929.T,1416.0,1465.0,1416.0,1463.0,132600.0,1419.0,日特建設,プライム（内国株式）,建設・資材,3.32,3.1,3.46,0.959,0.041,1448.0,192.0,1.01,517,60,281,0.214,1.36
192A,192A.T,1942.0,1948.0,1942.0,1947.0,2700.0,1948.0,インテグループ,グロース（内国株式）,情報通信・サービスその他,0.26,-0.05,0.31,0.833,0.167,1946.0,5.3,1.001,2695,789,1256,0.628,-0.76
1930,1930.T,1715.0,1757.0,1708.0,1746.0,106700.0,1707.0,北陸電気工事,プライム（内国株式）,建設・資材,1.81,2.28,2.86,0.776,0.224,1737.0,185.3,1.005,1310,141,281,0.502,-0.15
1934,1934.T,3185.0,3305.0,3140.0,3235.0,287500.0,3145.0,ユアテック,プライム（内国株式）,建設・資材,1.57,2.86,5.18,0.576,0.424,3227.0,927.8,1.002,1489,156,281,0.555,-0.39
1938,1938.T,3155.0,3235.0,3115.0,3215.0,89800.0,3185.0,日本リーテック,プライム（内国株式）,建設・資材,1.9,0.94,3.8,0.833,0.167,3188.0,286.3,1.008,1242,135,281,0.48,-0.06
1939,1939.T,2027.0,2116.0,2022.0,2112.0,169900.0,2006.0,四電工,プライム（内国株式）,建設・資材,4.19,5.28,4.64,0.957,0.043,2083.0,353.9,1.014,313,35,281,0.125,2.23
1941,1941.T,5010.0,5140.0,5010.0,5140.0,70900.0,4955.0,中電工,プライム（内国株式）,建設・資材,2.59,3.73,2.59,1.0,0.0,5097.0,361.4,1.008,811,102,281,0.363,0.63
1942,1942.T,6635.0,6986.0,6630.0,6986.0,2239900.0,6662.0,関電工,プライム（内国株式）,建設・資材,5.29,4.86,5.37,1.0,0.0,6867.0,15381.4,1.017,159,13,281,0.046,3.33
1944,1944.T,8255.0,8537.0,8243.0,8488.0,644100.0,8330.0,きんでん,プライム（内国株式）,建設・資材,2.82,1.9,3.56,0.833,0.167,8423.0,5425.3,1.008,699,93,281,0.331,0.86
